global_step,lr,policy_loss,value_loss,entropy,approx_kl,clipfrac,ratio_min,ratio_max,explained_var,sps
2048,0.0003,-0.2165202796459198,0.13350121676921844,1.3675594329833984,1.124365452543134,0.6166015625,1.97589677952692e-08,57.956119537353516,-0.8010021668206928,835
4096,0.0002993852459016393,-0.44274845719337463,0.1803133189678192,1.312487006187439,1.2621978063223651,0.6775390625,3.502969805500508e-14,1053.403076171875,0.37500306806258454,848
6144,0.00029877049180327867,0.1014673113822937,0.40807044506073,1.2661620378494263,0.8405673982197186,0.672802734375,3.849113302395457e-12,72.28073120117188,0.4858638403200627,971
8192,0.000298155737704918,-0.21025702357292175,0.14540182054042816,1.2374259233474731,0.3646043120272225,0.531201171875,1.0661771909781237e-07,28.79718589782715,0.5868505612471022,1085
10240,0.00029754098360655737,0.1260198950767517,0.1123041957616806,1.1846750974655151,0.08858264014706947,0.3837890625,0.02033943682909012,12.835234642028809,0.6602979184874908,1151
12288,0.0002969262295081967,-0.1523093283176422,0.17799228429794312,1.1309266090393066,0.4420550235838164,0.65166015625,0.0005205150227993727,51.889217376708984,0.7072989436362567,1170
14336,0.00029631147540983607,-0.01589968428015709,0.24463561177253723,1.0891724824905396,0.09538570255390369,0.358544921875,1.3029794899921399e-05,21.06420135498047,0.6038589870982378,1183
16384,0.00029569672131147536,-0.2629639804363251,0.15054570138454437,1.0457464456558228,0.3696998254425125,0.562451171875,9.55459017859539e-06,92.6101303100586,0.67130189040313,1232
18432,0.0002950819672131147,0.002170190215110779,0.20681411027908325,1.0108927488327026,0.6690575770713622,0.660205078125,2.2202040383945132e-07,44.902347564697266,0.6296503369402217,1272
20480,0.00029446721311475406,0.05636831000447273,0.1653551161289215,0.9767860770225525,0.17439528133254498,0.46767578125,0.0010469320695847273,21.143938064575195,0.6865268950684759,1314
22528,0.0002938524590163934,-0.06974055618047714,0.17350830137729645,0.9346083998680115,0.1594642562631634,0.524658203125,0.012778550386428833,15.714844703674316,0.7026500397824389,1346
24576,0.00029323770491803276,0.09789642691612244,0.1367468535900116,0.8993412256240845,0.2391382796515245,0.527099609375,1.550082379253581e-05,63.48045349121094,0.7214773899705655,1375
26624,0.0002926229508196721,-0.02028030902147293,0.14687636494636536,0.8692440390586853,0.15804051706509198,0.455419921875,8.549692574888468e-05,19.825769424438477,0.6840554842631716,1399
28672,0.00029200819672131145,-0.08669386804103851,0.18925625085830688,0.8482032418251038,0.2998837870225543,0.536181640625,1.3626116697196267e-06,47.481292724609375,0.7057889463859688,1405
30720,0.0002913934426229508,0.14353829622268677,0.12581448256969452,0.8153313398361206,0.8258197914954508,0.705810546875,1.7453142220347218e-07,121.46288299560547,0.6650474196722089,1365
32768,0.00029077868852459015,-0.3856353461742401,0.1769910752773285,0.788530707359314,0.45463540125638247,0.628857421875,0.0005183846224099398,70.9198226928711,0.6024790326911924,1317
34816,0.00029016393442622945,0.10077103972434998,0.12292343378067017,0.7467213869094849,0.15175022015318973,0.53662109375,0.0018237126059830189,40.368934631347656,0.7086343288499419,1287
36864,0.00028954918032786885,0.16250719130039215,0.13068269193172455,0.7144842743873596,0.19729619777208426,0.49755859375,0.00030625335057266057,14.89546012878418,0.7173661318150203,1290
38912,0.0002889344262295082,-0.1368410885334015,0.18992894887924194,0.7004669904708862,0.5917586601688527,0.632958984375,9.212496479449328e-06,85.35147857666016,0.7092498313026484,1308
40960,0.00028831967213114755,0.07897183299064636,0.0914614126086235,0.6677048206329346,0.9680294624165982,0.6470703125,4.4893109674148945e-08,86.77324676513672,0.6707894705131894,1305
43008,0.00028770491803278684,-0.0902339294552803,0.2213788777589798,0.6256289482116699,0.2678844243549975,0.546337890625,1.5097322147994419e-07,33.10721969604492,0.7040050606522579,1317
45056,0.0002870901639344262,-0.05266216769814491,0.1203870177268982,0.5940895676612854,0.47261460951704065,0.5896484375,5.8454681095554406e-08,31.164512634277344,0.7356967837797592,1331
47104,0.00028647540983606554,0.00974319875240326,0.12715423107147217,0.5734891295433044,0.8458059740092722,0.690576171875,2.0871858907867136e-08,95.39437866210938,0.7378249032370856,1342
49152,0.0002858606557377049,-0.16671502590179443,0.17991313338279724,0.5372662544250488,0.8888004816093599,0.726806640625,6.040892799319408e-07,54.58430099487305,0.7142019730972031,1356
51200,0.00028524590163934424,0.06800559908151627,0.08292034268379211,0.487962007522583,0.8616726428197581,0.69404296875,1.4203581031324575e-06,156.20994567871094,0.7459449526405508,1368
53248,0.0002846311475409836,-0.06413502991199493,0.0856630802154541,0.4470314383506775,0.40893706189817747,0.622412109375,1.791147587937303e-05,28.622495651245117,0.7835144498529583,1380
55296,0.00028401639344262294,0.15117427706718445,0.2329476773738861,0.43605858087539673,0.7249525010600337,0.6806640625,8.941809070961426e-09,121.66082763671875,0.688648299034593,1390
57344,0.0002834016393442623,-0.07769502699375153,0.16826194524765015,0.396564245223999,1.761095412816212,0.74326171875,2.8629561828891203e-12,649.643798828125,0.7198405742823433,1400
59392,0.00028278688524590163,-0.25035834312438965,0.15021274983882904,0.36280155181884766,1.3961425085086376,0.6921875,9.237760973919776e-14,119.64775848388672,0.8020444662224425,1410
61440,0.00028217213114754093,-0.2290247082710266,0.2317199558019638,0.32968640327453613,0.44269806211523244,0.6236328125,2.0199338450765936e-06,46.29274368286133,0.6795394247967328,1420
63488,0.0002815573770491803,-0.0854303166270256,0.13813269138336182,0.29731738567352295,1.4686395172553603,0.740966796875,2.3845730078020377e-12,196.70916748046875,0.7599599039886988,1429
65536,0.0002809426229508196,-0.20398052036762238,0.22139187157154083,0.2429666519165039,0.7378065368306125,0.664111328125,5.0188980083021306e-08,103.11872100830078,0.5807264140177701,1437
67584,0.00028032786885245903,1.351191520690918,0.2336481809616089,0.19326186180114746,0.4783619270136114,0.62333984375,1.627288293093443e-05,71.89958190917969,0.6171387740863916,1444
69632,0.0002797131147540983,-0.12545445561408997,0.28130394220352173,0.16902780532836914,0.5285432115430012,0.61748046875,7.613018624397228e-07,114.37525939941406,0.6000009446996009,1452
71680,0.00027909836065573767,-1.4473025798797607,0.13712461292743683,0.12494206428527832,1.3481117742630886,0.755615234375,7.931845284747663e-13,130.97116088867188,0.6918801972867965,1459
73728,0.000278483606557377,-0.3018706440925598,0.047822024673223495,0.0973966121673584,1.915637038802379,0.783740234375,1.1302253620851244e-12,90.18486022949219,0.809087615431723,1466
75776,0.00027786885245901637,-0.25725552439689636,0.016548432409763336,0.07995045185089111,1.9431043002899968,0.72685546875,2.2557981871340615e-10,387.6931457519531,-0.15660281077121985,1471
77824,0.0002772540983606557,-0.2855864465236664,0.026752326637506485,0.04525566101074219,1.5587441167794167,0.742919921875,1.1261631259012984e-15,67.25480651855469,0.4975013590202697,1477
79872,0.00027663934426229507,3.6702709197998047,0.02743772231042385,0.007760405540466309,2.6264378721476533,0.78037109375,6.677873539030323e-23,227.55447387695312,0.6611203714593201,1483
81920,0.0002760245901639344,-0.06896902620792389,0.022397687658667564,-0.011110544204711914,5.262844377630972,0.761181640625,2.5050642359557062e-33,486.43707275390625,0.832648494979804,1489
83968,0.00027540983606557377,-0.08029648661613464,0.03760477155447006,-0.04014444351196289,1.0914106965559767,0.752294921875,1.826035389519351e-13,194.51063537597656,0.8053551552179818,1495
86016,0.0002747950819672131,-0.11744804680347443,0.1608080118894577,-0.06676483154296875,1.3857565175974742,0.740869140625,1.1124036804546766e-12,119.33546447753906,0.6900956458175029,1435
88064,0.0002741803278688524,-0.1336470991373062,0.169418066740036,-0.08997166156768799,1.0339882567175664,0.73486328125,3.409473592341783e-09,114.48783111572266,0.6153118397465154,1350
90112,0.00027356557377049176,-0.471896767616272,0.12703457474708557,-0.09924936294555664,0.727415571466554,0.612451171875,1.2696521785315884e-11,60.893131256103516,0.7007068658761959,1318
92160,0.0002729508196721311,-0.1463104784488678,0.06630008667707443,-0.1208643913269043,3.77992432093306,0.8056640625,3.538053529255232e-22,158.20887756347656,0.8654162800224778,1303
94208,0.00027233606557377046,-0.1761058270931244,0.12222623080015182,-0.14161264896392822,4.3583975960384125,0.811328125,1.0463409237223524e-23,329.63092041015625,0.4668935707760533,1289
96256,0.0002717213114754098,-0.6251009702682495,0.0816604495048523,-0.1732696294784546,1.6799843340559164,0.759521484375,3.0167432036173773e-18,168.28636169433594,0.7023672047638636,1276
98304,0.00027110655737704915,-0.027450500056147575,0.12676019966602325,-0.19077765941619873,1.4379649424779928,0.73798828125,7.604581332319119e-16,283.5231018066406,0.6296051600743531,1263
100352,0.0002704918032786885,0.26953795552253723,0.0483834370970726,-0.2067422866821289,1.6217647416720866,0.85703125,7.781772622117433e-12,166.19488525390625,0.7575992700633355,1252
