env_id,variant,seed,global_step,return_20k_window
HalfCheetah-v5,noclip,2,160000,631.8
HalfCheetah-v5,noclip,2,170000,768.6
HalfCheetah-v5,noclip,2,180000,845.8
HalfCheetah-v5,noclip,2,190000,864.2
HalfCheetah-v5,noclip,2,200000,911.2
HalfCheetah-v5,noclip,2,210000,851.8
HalfCheetah-v5,noclip,2,220000,743.4
HalfCheetah-v5,noclip,2,230000,645.4
HalfCheetah-v5,noclip,2,240000,565.6
HalfCheetah-v5,noclip,2,250000,754.6
HalfCheetah-v5,noclip,2,260000,981.7
HalfCheetah-v5,noclip,2,270000,1032
HalfCheetah-v5,noclip,2,280000,1120
HalfCheetah-v5,noclip,2,290000,1188
HalfCheetah-v5,noclip,2,300000,1151
HalfCheetah-v5,noclip,2,310000,1114
HalfCheetah-v5,noclip,2,320000,1064
HalfCheetah-v5,noclip,2,330000,1016
HalfCheetah-v5,noclip,2,340000,837.5
HalfCheetah-v5,noclip,2,350000,653.3
HalfCheetah-v5,noclip,2,360000,703.9
HalfCheetah-v5,noclip,2,370000,848.3
HalfCheetah-v5,noclip,2,380000,666.5
HalfCheetah-v5,noclip,2,390000,716.1
HalfCheetah-v5,noclip,2,400000,936.5
HalfCheetah-v5,noclip,2,410000,763.1
HalfCheetah-v5,noclip,2,420000,558.8
HalfCheetah-v5,noclip,2,430000,524.9
HalfCheetah-v5,noclip,2,440000,453.5
HalfCheetah-v5,noclip,2,450000,338.2
HalfCheetah-v5,noclip,2,460000,286
HalfCheetah-v5,noclip,2,470000,163
HalfCheetah-v5,noclip,2,480000,234.8
HalfCheetah-v5,noclip,2,490000,197.6
HalfCheetah-v5,noclip,2,500000,101.1
HalfCheetah-v5,noclip,2,510000,100.6
HalfCheetah-v5,noclip,2,520000,-2.649
HalfCheetah-v5,noclip,2,530000,124.1
HalfCheetah-v5,noclip,2,540000,165.1
HalfCheetah-v5,noclip,2,550000,-72.48
HalfCheetah-v5,noclip,2,560000,-23.24
HalfCheetah-v5,noclip,2,570000,-93.2
HalfCheetah-v5,noclip,2,580000,-259.9
HalfCheetah-v5,noclip,2,590000,-268.4
HalfCheetah-v5,noclip,2,600000,-280.7
HalfCheetah-v5,noclip,2,610000,-153.4
HalfCheetah-v5,noclip,2,620000,-27.43
HalfCheetah-v5,noclip,2,630000,96.89
HalfCheetah-v5,noclip,2,640000,114.5
HalfCheetah-v5,noclip,2,650000,79.92
HalfCheetah-v5,noclip,2,660000,87.22
HalfCheetah-v5,noclip,2,670000,124.5
HalfCheetah-v5,noclip,2,680000,157.6
HalfCheetah-v5,noclip,2,690000,136.1
HalfCheetah-v5,noclip,2,700000,114.7
HalfCheetah-v5,noclip,2,710000,112.4
HalfCheetah-v5,noclip,2,720000,92.45
HalfCheetah-v5,noclip,2,730000,115.9
HalfCheetah-v5,noclip,2,740000,152.8
HalfCheetah-v5,noclip,2,750000,122.5
HalfCheetah-v5,noclip,2,760000,103.7
HalfCheetah-v5,noclip,2,770000,112.3
HalfCheetah-v5,noclip,2,780000,114
HalfCheetah-v5,noclip,2,790000,97.2
HalfCheetah-v5,noclip,2,800000,91.91
HalfCheetah-v5,noclip,2,810000,126.5
HalfCheetah-v5,noclip,2,820000,93.66
HalfCheetah-v5,noclip,2,830000,63.04
HalfCheetah-v5,noclip,2,840000,65.5
HalfCheetah-v5,noclip,2,850000,60.82
HalfCheetah-v5,noclip,2,860000,95.81
HalfCheetah-v5,noclip,2,870000,103.5
HalfCheetah-v5,noclip,2,880000,61.96
HalfCheetah-v5,noclip,2,890000,45.68
HalfCheetah-v5,noclip,2,900000,49.87
HalfCheetah-v5,noclip,2,910000,69.86
HalfCheetah-v5,noclip,2,920000,106.4
HalfCheetah-v5,noclip,2,930000,117.9
HalfCheetah-v5,noclip,2,940000,93.17
HalfCheetah-v5,noclip,2,950000,34.89
HalfCheetah-v5,noclip,2,960000,9.213
HalfCheetah-v5,noclip,2,970000,37.69
HalfCheetah-v5,noclip,2,980000,52.2
HalfCheetah-v5,noclip,2,990000,82.91
HalfCheetah-v5,noclip,2,1000000,69.04
HalfCheetah-v5,noclip,3,10000,-308.8
HalfCheetah-v5,noclip,3,20000,-269.8
HalfCheetah-v5,noclip,3,30000,-205.3
HalfCheetah-v5,noclip,3,40000,-82.19
HalfCheetah-v5,noclip,3,50000,77.99
HalfCheetah-v5,noclip,3,60000,100.5
HalfCheetah-v5,noclip,3,70000,134.3
HalfCheetah-v5,noclip,3,80000,162.6
HalfCheetah-v5,noclip,3,90000,140.1
HalfCheetah-v5,noclip,3,100000,228.4
HalfCheetah-v5,noclip,3,110000,328.3
HalfCheetah-v5,noclip,3,120000,410.1
HalfCheetah-v5,noclip,3,130000,467.7
