env_id,variant,seed,episodes,last100_mean_return,wall_time_s,norm
Swimmer-v5,clip0.2,1,999,91.75743257668444,831.2,0.9029376910484261
Swimmer-v5,clip0.2,2,999,72.87677833995846,1152.2,0.716060069290512
Swimmer-v5,clip0.2,3,999,99.80518791625674,948.9,0.9825930546545986
Swimmer-v5,clip0.3,1,999,47.27715775617639,1208.4,0.46267921963242764
Swimmer-v5,clip0.3,2,999,98.94032505651776,1006.6,0.9740327837895995
Swimmer-v5,clip0.3,3,999,48.60130353334175,1072.5,0.4757853975537472
Walker2d-v5,noclip,1,7381,340.281299730372,1156.8,0.07151303627804433
Walker2d-v5,noclip,2,3688,474.26194758906536,940.1,0.09981684686805838
Walker2d-v5,noclip,3,5248,385.64891732339964,882.9,0.08109708050977198
Walker2d-v5,clip0.1,1,3628,3646.132388847135,940.4,0.7698839171521012
Walker2d-v5,clip0.1,2,4137,3164.6955348432803,833.6,0.6681789489752871
Walker2d-v5,clip0.1,3,3944,2444.1755998300728,752.2,0.5159669684178291
Walker2d-v5,clip0.2,1,4560,1460.1506130728098,751.0,0.30808876148160635
Walker2d-v5,clip0.2,2,2854,4735.4239442938715,881.5,1.0
Walker2d-v5,clip0.2,3,3928,1407.023654660773,848.5,0.29686553340986455
Walker2d-v5,clip0.3,1,4678,2505.722307846778,787.5,0.5289688936509492
Walker2d-v5,clip0.3,2,2911,2865.906869597641,812.7,0.6050589542393685
Walker2d-v5,clip0.3,3,2432,3439.3972448117484,869.9,0.7262105027255029
