global_step,return,length
13408,51.0,52
13462,53.0,54
13515,52.0,53
13571,55.0,56
13622,50.0,51
13674,51.0,52
13725,50.0,51
13775,49.0,50
13828,52.0,53
13876,47.0,48
13926,49.0,50
13978,51.0,52
14027,48.0,49
14077,49.0,50
14131,53.0,54
14184,52.0,53
14236,51.0,52
14287,50.0,51
14335,47.0,48
14409,73.0,74
14498,88.0,89
14576,77.0,78
14659,82.0,83
14733,73.0,74
14812,78.0,79
14888,75.0,76
14973,84.0,85
15041,67.0,68
15119,77.0,78
15186,66.0,67
15259,72.0,73
15337,77.0,78
15420,82.0,83
15502,81.0,82
15579,76.0,77
15658,78.0,79
15726,67.0,68
15795,68.0,69
15863,67.0,68
15935,71.0,72
16009,73.0,74
16080,70.0,71
16159,78.0,79
16229,69.0,70
16300,70.0,71
16376,75.0,76
16448,71.0,72
16519,70.0,71
16593,73.0,74
16671,77.0,78
16745,73.0,74
16816,70.0,71
16893,76.0,77
16967,73.0,74
17042,74.0,75
17122,79.0,80
17192,69.0,70
17268,75.0,76
17344,75.0,76
17409,64.0,65
17480,70.0,71
17542,61.0,62
17621,78.0,79
17686,64.0,65
17759,72.0,73
17832,72.0,73
17897,64.0,65
17971,73.0,74
18041,69.0,70
18123,81.0,82
18197,73.0,74
18262,64.0,65
18328,65.0,66
18407,78.0,79
18681,273.0,274
19165,483.0,484
19801,635.0,636
20275,473.0,474
21260,984.0,985
21959,698.0,699
22959,1000.0,1000
23959,1000.0,1000
24017,57.0,58
24353,335.0,336
25322,968.0,969
26322,1000.0,1000
27322,1000.0,1000
28147,824.0,825
28502,354.0,355
29502,1000.0,1000
30502,1000.0,1000
30876,373.0,374
31020,143.0,144
31126,105.0,106
31277,150.0,151
31375,97.0,98
31563,187.0,188
31699,135.0,136
31794,94.0,95
31973,178.0,179
32096,122.0,123
32201,104.0,105
32325,123.0,124
32436,110.0,111
32567,130.0,131
32687,119.0,120
33687,1000.0,1000
34687,1000.0,1000
35687,1000.0,1000
36687,1000.0,1000
37687,1000.0,1000
38687,1000.0,1000
39687,1000.0,1000
40687,1000.0,1000
41687,1000.0,1000
42687,1000.0,1000
42835,147.0,148
43835,1000.0,1000
44835,1000.0,1000
45124,288.0,289
45216,91.0,92
45311,94.0,95
45406,94.0,95
45499,92.0,93
45598,98.0,99
45690,91.0,92
45775,84.0,85
45861,85.0,86
45956,94.0,95
46044,87.0,88
46130,85.0,86
46223,92.0,93
46316,92.0,93
46402,85.0,86
46496,93.0,94
46593,96.0,97
46682,88.0,89
46776,93.0,94
46865,88.0,89
46959,93.0,94
47046,86.0,87
48046,1000.0,1000
49046,1000.0,1000
49583,536.0,537
49655,71.0,72
49736,80.0,81
49814,77.0,78
49891,76.0,77
49970,78.0,79
50057,86.0,87
50137,79.0,80
50207,69.0,70
50288,80.0,81
50373,84.0,85
50445,71.0,72
50519,73.0,74
