global_step,return,length
3573,6.0,7
3611,37.0,38
3618,6.0,7
3623,4.0,5
3629,5.0,6
3636,6.0,7
3665,28.0,29
3671,5.0,6
3682,10.0,11
3687,4.0,5
3721,33.0,34
3739,17.0,18
3745,5.0,6
3771,25.0,26
3783,11.0,12
3795,11.0,12
3808,12.0,13
3813,4.0,5
3827,13.0,14
3833,5.0,6
3840,6.0,7
3844,3.0,4
3858,13.0,14
3873,14.0,15
3913,39.0,40
3938,24.0,25
3947,8.0,9
3963,15.0,16
3996,32.0,33
4004,7.0,8
4012,7.0,8
4033,20.0,21
4063,29.0,30
4073,9.0,10
4101,27.0,28
4108,6.0,7
4141,32.0,33
4170,28.0,29
4202,31.0,32
4224,21.0,22
4289,64.0,65
4342,52.0,53
4350,7.0,8
4376,25.0,26
4408,31.0,32
4418,9.0,10
4462,43.0,44
4504,41.0,42
4530,25.0,26
4535,4.0,5
4569,33.0,34
4631,61.0,62
4689,57.0,58
4713,23.0,24
4721,7.0,8
4750,28.0,29
4783,32.0,33
4814,30.0,31
4845,30.0,31
4849,3.0,4
4857,7.0,8
4897,39.0,40
4925,27.0,28
4931,5.0,6
4947,15.0,16
4966,18.0,19
4987,20.0,21
5015,27.0,28
5021,5.0,6
5026,4.0,5
5050,23.0,24
5098,47.0,48
5135,36.0,37
5142,6.0,7
5154,11.0,12
5178,23.0,24
5199,20.0,21
5225,25.0,26
5247,21.0,22
5307,59.0,60
5336,28.0,29
5367,30.0,31
5406,38.0,39
5432,25.0,26
5496,63.0,64
5520,23.0,24
5539,18.0,19
5613,73.0,74
5636,22.0,23
5651,14.0,15
5678,26.0,27
5683,4.0,5
5702,18.0,19
5752,49.0,50
5773,20.0,21
5804,30.0,31
5831,26.0,27
5838,6.0,7
5874,35.0,36
5899,24.0,25
5916,16.0,17
5955,38.0,39
5966,10.0,11
6023,56.0,57
6046,22.0,23
6055,8.0,9
6092,36.0,37
6121,28.0,29
6134,12.0,13
6179,44.0,45
6220,40.0,41
6284,63.0,64
6367,82.0,83
6444,76.0,77
6499,54.0,55
6508,8.0,9
6533,24.0,25
6583,49.0,50
6704,120.0,121
6721,16.0,17
6789,67.0,68
6929,139.0,140
7001,71.0,72
7047,45.0,46
7116,68.0,69
7164,47.0,48
7240,75.0,76
7261,20.0,21
7324,62.0,63
7366,41.0,42
7416,49.0,50
7520,103.0,104
7572,51.0,52
7630,57.0,58
7636,5.0,6
7669,32.0,33
7771,101.0,102
7811,39.0,40
7897,85.0,86
7904,6.0,7
7957,52.0,53
8024,66.0,67
8084,59.0,60
8148,63.0,64
8240,91.0,92
8297,56.0,57
8387,89.0,90
8470,82.0,83
8616,145.0,146
8684,67.0,68
8730,45.0,46
8872,141.0,142
8981,108.0,109
9024,42.0,43
9081,56.0,57
9126,44.0,45
9135,8.0,9
9200,64.0,65
9340,139.0,140
9396,55.0,56
9496,99.0,100
9602,105.0,106
9740,137.0,138
9819,78.0,79
9887,67.0,68
10003,115.0,116
10108,104.0,105
10285,176.0,177
10499,213.0,214
10913,413.0,414
10991,77.0,78
11252,260.0,261
11415,162.0,163
11703,287.0,288
11830,126.0,127
11958,127.0,128
12958,1000.0,1000
13958,1000.0,1000
14958,1000.0,1000
15958,1000.0,1000
16958,1000.0,1000
17958,1000.0,1000
18958,1000.0,1000
19958,1000.0,1000
20958,1000.0,1000
21958,1000.0,1000
22958,1000.0,1000
23958,1000.0,1000
24958,1000.0,1000
25958,1000.0,1000
26958,1000.0,1000
27958,1000.0,1000
28958,1000.0,1000
29958,1000.0,1000
30958,1000.0,1000
31958,1000.0,1000
32958,1000.0,1000
33958,1000.0,1000
34958,1000.0,1000
35958,1000.0,1000
36958,1000.0,1000
37958,1000.0,1000
38958,1000.0,1000
39958,1000.0,1000
40958,1000.0,1000
41958,1000.0,1000
42958,1000.0,1000
43958,1000.0,1000
44958,1000.0,1000
45958,1000.0,1000
46958,1000.0,1000
47958,1000.0,1000
48958,1000.0,1000
49958,1000.0,1000
50958,1000.0,1000
51958,1000.0,1000
52958,1000.0,1000
53958,1000.0,1000
54958,1000.0,1000
55958,1000.0,1000
56958,1000.0,1000
57958,1000.0,1000
58958,1000.0,1000
59958,1000.0,1000
60958,1000.0,1000
61958,1000.0,1000
62958,1000.0,1000
63574,615.0,616
64574,1000.0,1000
65242,667.0,668
66242,1000.0,1000
67242,1000.0,1000
68242,1000.0,1000
69242,1000.0,1000
70242,1000.0,1000
71242,1000.0,1000
72242,1000.0,1000
73242,1000.0,1000
74242,1000.0,1000
75242,1000.0,1000
76242,1000.0,1000
77242,1000.0,1000
78242,1000.0,1000
79242,1000.0,1000
80242,1000.0,1000
81242,1000.0,1000
82242,1000.0,1000
83242,1000.0,1000
83400,157.0,158
84400,1000.0,1000
85400,1000.0,1000
86400,1000.0,1000
87236,835.0,836
87461,224.0,225
88461,1000.0,1000
89461,1000.0,1000
90461,1000.0,1000
