global_step,return,length
50,-60.33868459447222,50
100,-62.611685525852344,50
150,-58.02748974283295,50
200,-62.673465368108054,50
250,-66.18666673758818,50
300,-56.2053754262948,50
350,-59.935371054722395,50
400,-59.06030788506844,50
450,-51.21746203185959,50
500,-63.45890084951971,50
550,-58.61526227102991,50
600,-73.00214737921902,50
650,-56.61889909700806,50
700,-60.16127956837844,50
750,-64.70157467708775,50
800,-69.36532370973215,50
850,-59.5291801916915,50
900,-68.84870668625061,50
950,-55.928317240163835,50
1000,-57.267493379708654,50
1050,-57.03598920581893,50
1100,-59.51182205272472,50
1150,-67.74112758851562,50
1200,-57.711038835859874,50
1250,-60.85652363584321,50
1300,-62.19963969431015,50
1350,-62.26615251159859,50
1400,-64.75513635571252,50
1450,-61.36680520206129,50
1500,-70.39814055337783,50
1550,-62.63022831826863,50
1600,-64.34201536579192,50
1650,-55.2195556870818,50
1700,-64.65916690710264,50
1750,-59.76525708867244,50
1800,-56.601995745970584,50
1850,-63.45279373290708,50
1900,-63.29402931249712,50
1950,-59.10530218749538,50
2000,-50.31881345276212,50
2050,-53.509934960364845,50
2100,-58.900125468442816,50
2150,-63.05957870075291,50
2200,-60.97980974798172,50
2250,-64.50118245644086,50
2300,-60.79492847791142,50
2350,-55.62229680934712,50
2400,-57.59735645978491,50
2450,-58.535002764471706,50
2500,-58.783712486756926,50
2550,-52.97857358549474,50
2600,-55.730970473180314,50
2650,-73.93372812458661,50
2700,-61.83532479018305,50
2750,-58.37429239817665,50
2800,-63.41010010730222,50
2850,-64.85814064838469,50
2900,-59.64792133033322,50
2950,-68.13011882498623,50
3000,-63.6152373024229,50
3050,-60.88053820409261,50
3100,-61.5517459578186,50
3150,-61.68213388579297,50
3200,-53.383007636235114,50
3250,-62.54046264741939,50
3300,-60.31240852480926,50
3350,-58.60472941617583,50
3400,-61.280755426739326,50
3450,-58.28134186229606,50
3500,-68.06400117593616,50
3550,-65.43213805997577,50
3600,-59.0370326445636,50
3650,-65.21990592986617,50
3700,-65.39489175113422,50
3750,-67.35397407331502,50
3800,-62.35412309244311,50
3850,-66.75807007337936,50
3900,-58.539209010943146,50
3950,-57.4576917816801,50
4000,-58.43849681886956,50
4050,-56.590166417485335,50
4100,-66.19819731701017,50
4150,-63.92644861293159,50
4200,-55.87635035564236,50
4250,-58.65985302679896,50
4300,-66.13539689080848,50
4350,-53.744229942559215,50
4400,-69.6908283137546,50
4450,-60.56976087755664,50
4500,-64.9144649059239,50
4550,-65.37201048766705,50
4600,-59.280852046451955,50
4650,-52.27907034811142,50
4700,-64.77910033113352,50
4750,-58.955255085637006,50
4800,-59.67589981261446,50
4850,-62.37684527408633,50
4900,-58.16823030992805,50
4950,-63.96274332683167,50
5000,-54.68390572733889,50
5050,-55.886416095739655,50
5100,-61.858730171545,50
5150,-51.92506626094841,50
5200,-55.76291097466583,50
5250,-60.06475518728417,50
5300,-59.683920078056246,50
5350,-61.23315716644379,50
5400,-54.97727593216283,50
5450,-51.95030996056237,50
5500,-64.17624004876593,50
5550,-51.953764984056896,50
5600,-59.179702834989676,50
5650,-62.40216062691693,50
5700,-61.51147156545128,50
5750,-58.80024945221547,50
5800,-60.35515932207263,50
5850,-64.45336970432517,50
5900,-58.20164021049311,50
5950,-53.858164189767045,50
6000,-57.38465313158387,50
6050,-54.90109097688123,50
6100,-52.514766710780975,50
6150,-58.819186213391774,50
6200,-66.58913281838494,50
6250,-58.618993349353154,50
6300,-64.32027622949536,50
6350,-65.53078288032573,50
6400,-62.3248843230965,50
6450,-61.90065197865588,50
6500,-61.173599229352746,50
6550,-55.65002817339267,50
6600,-55.589338805963244,50
6650,-62.563487623400604,50
6700,-60.777855086998414,50
6750,-71.34150971503003,50
6800,-60.752387053692466,50
6850,-57.036722461835446,50
6900,-53.73167779119044,50
6950,-58.070382588206485,50
7000,-57.4697866255773,50
7050,-55.884795108736,50
7100,-56.70862262583984,50
7150,-62.181852052248324,50
7200,-58.04065965539372,50
