global_step,lr,policy_loss,value_loss,entropy,approx_kl,clipfrac,ratio_min,ratio_max,explained_var,sps
2048,0.0003,-0.014335386455059052,0.30261296033859253,2.8854894638061523,0.010443943899008445,0.1458984375,0.576185941696167,2.214240550994873,-0.13490013649289878,1048
4096,0.0002993852459016393,-0.016420699656009674,0.17277665436267853,2.882854461669922,0.011518473690375685,0.1751953125,0.44364744424819946,1.674749493598938,0.13847442006658428,1043
6144,0.00029877049180327867,-0.044841546565294266,0.1698305606842041,2.8319857120513916,0.011099079830455594,0.157275390625,0.353979229927063,1.8832453489303589,0.2797986549174798,1037
8192,0.000298155737704918,-0.01499086245894432,0.03002277947962284,2.767547607421875,0.011193940954399295,0.160205078125,0.30731233954429626,1.5834252834320068,0.3544082490392402,1036
10240,0.00029754098360655737,-0.005134269595146179,0.024545837193727493,2.7436347007751465,0.00835169603524264,0.114453125,0.4662899672985077,1.9833735227584839,0.526181587950483,1035
12288,0.0002969262295081967,-0.009419307112693787,0.011550895869731903,2.6700758934020996,0.006744699037517421,0.075244140625,0.4161970615386963,1.5086084604263306,0.7746781493994999,1035
14336,0.00029631147540983607,-0.02909696474671364,0.006273773964494467,2.638997793197632,0.008012650252203457,0.10380859375,0.37525972723960876,1.6669273376464844,0.8216500524782756,1033
16384,0.00029569672131147536,-0.0001692548394203186,0.005010586231946945,2.6230690479278564,0.009890061969053931,0.146044921875,0.5087195038795471,1.9030927419662476,0.8547052101595951,1031
18432,0.0002950819672131147,-0.004177197813987732,0.013663394376635551,2.6033782958984375,0.005279915814753622,0.062255859375,0.5107319951057434,1.8364193439483643,0.9070809228623181,1030
20480,0.00029446721311475406,-0.025385037064552307,0.004170740954577923,2.580878973007202,0.0056600544747198,0.071337890625,0.4899033010005951,1.7480072975158691,0.9521143875831066,1030
22528,0.0002938524590163934,-0.003458630293607712,0.0031141897197812796,2.564939498901367,0.006750742724398151,0.085791015625,0.5361173748970032,1.6571587324142456,0.9573799553293775,1028
24576,0.00029323770491803276,-0.0047690607607364655,0.002457559574395418,2.526076316833496,0.007538130896864459,0.087890625,0.2987229824066162,1.9403623342514038,0.9794294268150425,1007
26624,0.0002926229508196721,0.015108548104763031,0.004226503428071737,2.5018558502197266,0.0074777582922251895,0.101806640625,0.43293333053588867,1.670534372329712,0.9569225600602632,887
28672,0.00029200819672131145,-0.03352557122707367,0.0033133274409919977,2.4911155700683594,0.011307216048589908,0.15556640625,0.37265241146087646,1.9314358234405518,0.9554532635625711,835
30720,0.0002913934426229508,-0.018246937543153763,0.002264463109895587,2.4508631229400635,0.008603752055205405,0.12021484375,0.37809890508651733,1.6950970888137817,0.969899483789465,846
32768,0.00029077868852459015,0.012726105749607086,0.0026811612769961357,2.407076120376587,0.008673487813211977,0.10927734375,0.27195146679878235,1.798148274421692,0.9759962635256382,855
34816,0.00029016393442622945,-0.012072354555130005,0.0007096147164702415,2.3889973163604736,0.008241361865657382,0.109228515625,0.4529305398464203,1.776688814163208,0.9911477980539406,813
36864,0.00028954918032786885,-0.026291370391845703,0.0009032541420310736,2.3531875610351562,0.009049176471307874,0.11962890625,0.3273618221282959,1.8076896667480469,0.9833685487701744,764
38912,0.0002889344262295082,-0.00091128284111619,0.0019582004752010107,2.3484411239624023,0.010064671002328395,0.136181640625,0.42409953474998474,2.297072410583496,0.9780753335346374,726
40960,0.00028831967213114755,-0.028529919683933258,0.002450385596603155,2.315595865249634,0.007568030341644771,0.09541015625,0.43037980794906616,1.9694619178771973,0.9838701361591828,741
43008,0.00028770491803278684,-0.017492711544036865,0.003906109370291233,2.3107900619506836,0.011783094075508416,0.174462890625,0.4206238090991974,2.0298078060150146,0.9680914380260103,762
45056,0.0002870901639344262,-0.006053458899259567,0.001164295244961977,2.317227363586426,0.005018533195834607,0.058203125,0.513232409954071,1.6657593250274658,0.9824399837775657,781
47104,0.00028647540983606554,-0.012197366915643215,0.001881113974377513,2.3116464614868164,0.004821741717751138,0.054052734375,0.5688503384590149,1.6534994840621948,0.9856810251455757,799
49152,0.0002858606557377049,-0.032091911882162094,0.0016308384947478771,2.2877614498138428,0.013476341794012114,0.20810546875,0.3905741572380066,1.8133790493011475,0.981513268960644,816
51200,0.00028524590163934424,-0.02253548987209797,0.0008431195747107267,2.2474348545074463,0.006657152742263861,0.082177734375,0.4596855342388153,1.9357130527496338,0.9884787037535548,833
53248,0.0002846311475409836,-0.016802405938506126,0.0007717878906987607,2.2288053035736084,0.011331015036557802,0.170068359375,0.4010477364063263,2.099331855773926,0.9893357747170052,849
55296,0.00028401639344262294,-0.007424730807542801,0.0015165304066613317,2.2331578731536865,0.0045541287574451415,0.0484375,0.4035217761993408,2.4074020385742188,0.9897005115370133,864
57344,0.0002834016393442623,-0.017214491963386536,0.0005856173229403794,2.2176513671875,0.007879775451146997,0.10546875,0.36415672302246094,1.85100257396698,0.9943984279380048,879
59392,0.00028278688524590163,0.003669261932373047,0.0006843182491138577,2.1836729049682617,0.005865909444401041,0.07099609375,0.43780356645584106,1.7404968738555908,0.9902749086338122,894
61440,0.00028217213114754093,0.021768122911453247,0.0008759504999034107,2.1418492794036865,0.006844768556766212,0.086181640625,0.41846582293510437,1.64651358127594,0.9941298513298806,907
63488,0.0002815573770491803,-0.01079845055937767,0.000601371459197253,2.1294162273406982,0.0070724261313444,0.090087890625,0.47695571184158325,1.9955332279205322,0.9921884757819502,921
65536,0.0002809426229508196,-0.020519975572824478,0.0007361165480688214,2.1398019790649414,0.006892286919173785,0.07685546875,0.24752378463745117,2.561129331588745,0.9944211759202304,934
67584,0.00028032786885245903,-0.012105505913496017,0.000488562393002212,2.1099693775177,0.0097163274185732,0.13349609375,0.39044326543807983,2.624427556991577,0.9956117855920574,946
69632,0.0002797131147540983,-0.04419362545013428,0.0006369735929183662,2.086078643798828,0.008269565395312383,0.10771484375,0.44238999485969543,2.235170364379883,0.9903254202275019,958
71680,0.00027909836065573767,0.0005894824862480164,0.00047451225691474974,2.059598922729492,0.007099469733657315,0.09013671875,0.4103490710258484,1.7820833921432495,0.9957470868009839,970
73728,0.000278483606557377,-0.02283400297164917,0.0005155656835995615,2.05007004737854,0.005146652212715708,0.062939453125,0.4448801577091217,1.6590800285339355,0.9854504269539764,981
75776,0.00027786885245901637,0.031033987179398537,0.00043911245302297175,2.0354669094085693,0.008299344789702446,0.08427734375,0.16183029115200043,2.69458270072937,0.993516535136033,992
77824,0.0002772540983606557,-0.017162242904305458,0.00028652281616814435,2.0446481704711914,0.0052899967558914796,0.06474609375,0.5127030611038208,1.9668121337890625,0.9951427471080114,1003
79872,0.00027663934426229507,0.007573869079351425,0.0019720555283129215,2.029062271118164,0.008687818638281896,0.099853515625,0.14023174345493317,2.8911354541778564,0.9844357129608144,1013
81920,0.0002760245901639344,-0.0050296299159526825,0.0012186744716018438,1.978890299797058,0.007248356999480165,0.092236328125,0.3998655378818512,1.8978149890899658,0.9351314104984481,1023
83968,0.00027540983606557377,-0.005381181836128235,0.000503976596519351,1.9790077209472656,0.009035302925622091,0.119677734375,0.3923790752887726,2.527775764465332,0.9821882443193025,1033
86016,0.0002747950819672131,-0.0007005762308835983,0.0012534436536952853,1.9733420610427856,0.005871354381088168,0.071484375,0.4225528836250305,2.0294127464294434,0.9931132263364536,1041
88064,0.0002741803278688524,-0.01055864617228508,0.0006083677290007472,1.9822942018508911,0.00860605388879776,0.119091796875,0.4607276916503906,2.0708885192871094,0.9914795820014224,1050
