global_step,return,length
24,24.020927481710608,24
73,67.48680280933014,49
90,8.736874334189363,17
109,19.915705960374556,19
151,55.175881484005394,42
166,7.8166354586435824,15
180,8.432928819903312,14
206,16.348701559168358,26
216,6.275504240305987,10
230,11.180147620718637,14
247,5.090868241372785,17
254,2.8748816688951093,7
275,12.242060809346645,21
305,18.09627714760881,30
316,6.960098617969009,11
332,9.871532271225187,16
342,6.884787730456376,10
354,9.073284604600072,12
371,14.946484840110454,17
390,19.385556927798156,19
408,10.811763369742122,18
425,9.372021055111114,17
440,12.180545037729114,15
455,8.810249369401388,15
487,15.244783674674704,32
497,4.4867374699529,10
534,28.290008659475763,37
549,9.908028201758132,15
558,5.431418907020402,9
568,4.843183742241839,10
582,5.586165922672866,14
596,12.372030366520542,14
609,10.863283536910386,13
624,6.889048095358119,15
640,13.745858349293561,16
654,5.9597921232918845,14
665,6.719436281129849,11
674,4.313078416642723,9
690,11.304265520437875,16
707,11.396261190959379,17
724,11.87310338725134,17
733,6.009127007921971,9
755,9.520153946021859,22
782,9.911517968641599,27
809,11.584284720140069,27
822,11.011156255295878,13
835,9.676272819781046,13
848,9.966655479252934,13
869,19.615133429024166,21
885,18.481036429447272,16
905,9.970402163235256,20
921,11.11634846568098,16
930,6.387725422906246,9
948,15.730378465261827,18
960,7.910894487895986,12
981,13.157787036504956,21
995,7.237113155072105,14
1018,22.98890543822037,23
1041,10.394785781936509,23
1057,13.75447645034238,16
1084,28.74749574937038,27
1095,8.459665295104246,11
1105,6.02061429736542,10
1116,7.175258806204649,11
1128,5.6209988467606005,12
1145,14.590448428611765,17
1157,7.757773124301556,12
1172,11.112098728859605,15
1185,8.60647861463588,13
1229,26.906881391954172,44
1272,62.58545563909781,43
1296,12.549806636924664,24
1313,15.397043514596497,17
1345,6.483040452129629,32
1355,5.0452302264137465,10
1385,17.605860639633622,30
1394,4.543492727052205,9
1412,8.553053491965342,18
1425,8.773200614168116,13
1469,72.70729393217086,44
1482,9.415655381398565,13
1498,13.025776182760879,16
1507,4.114951761563749,9
1533,13.747957756115763,26
1544,7.912830289373251,11
1563,20.30386094494255,19
1577,8.04830676304126,14
1588,7.59535704150408,11
1621,28.266385129510606,33
1639,16.056547983960545,18
1648,5.4517183469771116,9
1679,13.723491723893241,31
1695,12.11923997649734,16
1710,9.663419936703244,15
1729,14.817951511414686,19
1767,47.85333384648128,38
1786,16.439476169512275,19
1813,28.255665473376215,27
1826,7.719168934620694,13
1849,21.41592281968163,23
1860,8.132081172587746,11
1869,5.999935953842965,9
1888,14.216056344611525,19
1925,56.37872991952257,37
1933,3.0144944943364536,8
1943,4.0526881617395425,10
1966,22.781465856688126,23
1980,8.888169934427662,14
1989,5.052375615010224,9
2059,70.49246411905047,70
2078,18.350669616627673,19
2123,76.98985226088313,45
2158,56.83813846486285,35
2186,35.690969413425925,28
2198,8.495844193965619,12
2308,173.38447313555886,110
2341,54.068387006363466,33
2382,68.54707866072107,41
2397,15.372427450872454,15
2411,8.677063146885454,14
2452,68.9383345149239,41
2483,35.39811886484928,31
2503,18.86294257970569,20
2516,9.959434893386351,13
2534,16.85152606182625,18
2565,51.60133634837877,31
2618,91.94635702474156,53
2634,11.577031415872689,16
2653,16.844451449024326,19
2708,94.0879364755415,55
